index,CODE_UNIT,SubDist,Dist,SubC,Place,Unit,Housing,MVoter,FMVoter,Voter,DistC,zone,count
1794,1795,วัดอรุณ,เขตบางกอกใหญ่,101601,อาคารศูนย์บริการสาธารณสุข 33 วัดหงส์รัตนาราม,1,161,331,379,710,1016,Zone05,2
1795,1796,วัดอรุณ,เขตบางกอกใหญ่,101601,เต็นท์บริเวณสนามโรงเรียนวัดหงส์รัตนาราม,2,99,202,247,449,1016,Zone05,1
1796,1797,วัดอรุณ,เขตบางกอกใหญ่,101601,เต็นท์บริเวณสนามโรงเรียนวัดหงส์รัตนาราม,3,97,193,219,412,1016,Zone05,1
1797,1798,วัดอรุณ,เขตบางกอกใหญ่,101601,เต็นท์บริเวณลานจอดรถ สน.บางกอกใหญ่,4,184,259,279,538,1016,Zone05,4
1798,1799,วัดอรุณ,เขตบางกอกใหญ่,101601,เต็นท์บริเวณลานจอดรถ สน.บางกอกใหญ่,5,154,252,318,570,1016,Zone05,2
1799,1800,วัดอรุณ,เขตบางกอกใหญ่,101601,เต็นท์บริเวณสนามโรงเรียนประถมทวีธาภิเศก,6,123,249,296,545,1016,Zone05,3
1800,1801,วัดอรุณ,เขตบางกอกใหญ่,101601,เต็นท์บริเวณสนามโรงเรียนประถมทวีธาภิเศก,7,64,177,120,297,1016,Zone05,1
1801,1802,วัดอรุณ,เขตบางกอกใหญ่,101601,เต็นท์บริเวณสนามโรงเรียนประถมทวีธาภิเศก,8,2,319,0,319,1016,Zone05,2
1802,1803,วัดอรุณ,เขตบางกอกใหญ่,101601,เต็นท์บริเวณที่จอดรถฌาปนสถานกองทัพเรือ(วัดเครือวัลย์),9,48,93,97,190,1016,Zone05,1
1803,1804,วัดอรุณ,เขตบางกอกใหญ่,101601,อาคารโรงเรียนวัดนาคกลาง,10,100,186,240,426,1016,Zone05,5
1804,1805,วัดอรุณ,เขตบางกอกใหญ่,101601,อาคารโรงเรียนวัดนาคกลาง,11,121,228,243,471,1016,Zone05,1
1805,1806,วัดอรุณ,เขตบางกอกใหญ่,101601,อาคารโรงเรียนวัดนาคกลาง,12,104,201,247,448,1016,Zone05,2
1806,1807,วัดอรุณ,เขตบางกอกใหญ่,101601,เต็นท์ที่ว่างโรงเรียนทวีธาภิเศก,13,196,313,377,690,1016,Zone05,4
1807,1808,วัดอรุณ,เขตบางกอกใหญ่,101601,เต็นท์ในหมู่บ้านศิวาลัย (ระหว่างซอย 1-3),14,132,195,248,443,1016,Zone05,0
1808,1809,วัดอรุณ,เขตบางกอกใหญ่,101601,เต็นท์ในหมู่บ้านศิวาลัย (ระหว่างซอย 1-3),15,233,213,327,540,1016,Zone05,1
1809,1810,วัดอรุณ,เขตบางกอกใหญ่,101601,อาคารโรงเรียนวัดใหม่พิเรนทร์,16,168,247,324,571,1016,Zone05,1
1810,1811,วัดอรุณ,เขตบางกอกใหญ่,101601,อาคารโรงเรียนวัดใหม่พิเรนทร์,17,132,255,279,534,1016,Zone05,2
1811,1812,วัดอรุณ,เขตบางกอกใหญ่,101601,เต็นท์บริเวณรถไฟฟ้า สถานีอิสรภาพ (ปากซอยอิสรภาพ 23),18,113,194,199,393,1016,Zone05,2
1812,1813,วัดอรุณ,เขตบางกอกใหญ่,101601,เต็นท์บริเวณรถไฟฟ้า สถานีอิสรภาพ (ปากซอยอิสรภาพ 23),19,132,224,272,496,1016,Zone05,1
1813,1814,วัดอรุณ,เขตบางกอกใหญ่,101601,เต็นท์บริเวณรถไฟฟ้า สถานีอิสรภาพ (ด้านในซอยอิสรภาพ 34),20,139,190,264,454,1016,Zone05,2
1814,1815,วัดท่าพระ,เขตบางกอกใหญ่,101602,ฌาปนสถาน วัดราชสิทธารามฯ,1,140,323,344,667,1016,Zone05,1
1815,1816,วัดท่าพระ,เขตบางกอกใหญ่,101602,ฌาปนสถาน วัดราชสิทธารามฯ,2,161,283,345,628,1016,Zone05,1
