index,CODE_UNIT,SubDist,Dist,SubC,Place,Unit,Housing,MVoter,FMVoter,Voter,DistC,zone,count
6578,6579,บางมด,เขตทุ่งครุ,104901,โรงเรียนนาหลวง,1,286,358,390,748,1049,Zone06,0
6579,6580,บางมด,เขตทุ่งครุ,104901,โรงเรียนนาหลวง,2,228,344,381,725,1049,Zone06,0
6580,6581,บางมด,เขตทุ่งครุ,104901,โรงเรียนนาหลวง,3,322,390,416,806,1049,Zone06,0
6581,6582,บางมด,เขตทุ่งครุ,104901,โรงเรียนนาหลวง,4,269,370,447,817,1049,Zone06,0
6582,6583,บางมด,เขตทุ่งครุ,104901,เต็นท์ในบริเวณศูนย์กีฬาเฉลิมพระเกียรติ,5,257,330,455,785,1049,Zone06,0
6583,6584,บางมด,เขตทุ่งครุ,104901,เต็นท์ในบริเวณศูนย์กีฬาเฉลิมพระเกียรติ,6,188,346,383,729,1049,Zone06,0
6584,6585,บางมด,เขตทุ่งครุ,104901,เต็นท์ในบริเวณศูนย์กีฬาเฉลิมพระเกียรติ,7,277,337,443,780,1049,Zone06,0
6585,6586,บางมด,เขตทุ่งครุ,104901,เต็นท์ในบริเวณศูนย์กีฬาเฉลิมพระเกียรติ,8,275,278,393,671,1049,Zone06,0
6586,6587,บางมด,เขตทุ่งครุ,104901,เต็นท์ในบริเวณศูนย์กีฬาเฉลิมพระเกียรติ,9,230,274,326,600,1049,Zone06,0
6587,6588,บางมด,เขตทุ่งครุ,104901,โรงเรียนมัมบะอิลอิสลาม,10,230,383,460,843,1049,Zone06,0
6588,6589,บางมด,เขตทุ่งครุ,104901,โรงเรียนมัมบะอิลอิสลาม,11,300,428,480,908,1049,Zone06,0
6589,6590,บางมด,เขตทุ่งครุ,104901,โรงเรียนมัมบะอิลอิสลาม,12,237,412,506,918,1049,Zone06,0
6590,6591,บางมด,เขตทุ่งครุ,104901,โรงเรียนมัมบะอิลอิสลาม,13,299,421,509,930,1049,Zone06,0
6591,6592,บางมด,เขตทุ่งครุ,104901,เต็นท์ใกล้ศูนย์พัฒนาเด็กเล็กก่อนวัยเรียนชุมชนบลูไลท์(ซอยประชาอุทิศ 33),14,156,256,298,554,1049,Zone06,0
6592,6593,บางมด,เขตทุ่งครุ,104901,เต็นท์ใกล้ศูนย์พัฒนาเด็กเล็กก่อนวัยเรียนชุมชนบลูไลท์ (ซอยประชาอุทิศ 33),15,158,263,319,582,1049,Zone06,0
6593,6594,บางมด,เขตทุ่งครุ,104901,โรงเรียนฝึกอาชีพกรุงเทพมหานคร (อาทร สังขะวัฒนะ),16,333,369,466,835,1049,Zone06,0
6594,6595,บางมด,เขตทุ่งครุ,104901,โรงเรียนฝึกอาชีพกรุงเทพมหานคร (อาทร สังขะวัฒนะ),17,467,283,433,716,1049,Zone06,0
6595,6596,บางมด,เขตทุ่งครุ,104901,โรงเรียนฝึกอาชีพกรุงเทพมหานคร (อาทร สังขะวัฒนะ),18,249,425,421,846,1049,Zone06,0
6596,6597,บางมด,เขตทุ่งครุ,104901,โรงเรียนฝึกอาชีพกรุงเทพมหานคร (อาทร สังขะวัฒนะ),19,157,342,348,690,1049,Zone06,0
6597,6598,บางมด,เขตทุ่งครุ,104901,โรงเรียนฝึกอาชีพกรุงเทพมหานคร (อาทร สังขะวัฒนะ),20,348,387,492,879,1049,Zone06,0
6598,6599,บางมด,เขตทุ่งครุ,104901,เต็นท์บริเวณห้องสมุดเพื่อการเรียนรู้ เขตทุ่งครุ,21,274,292,391,683,1049,Zone06,0
6599,6600,บางมด,เขตทุ่งครุ,104901,เต็นท์บริเวณห้องสมุดเพื่อการเรียนรู้ เขตทุ่งครุ,22,278,308,406,714,1049,Zone06,0
6600,6601,บางมด,เขตทุ่งครุ,104901,เต็นท์บริเวณห้องสมุดเพื่อการเรียนรู้ เขตทุ่งครุ,23,217,316,362,678,1049,Zone06,0
6601,6602,บางมด,เขตทุ่งครุ,104901,โรงเรียนวัดพุทธบูชา,24,312,418,453,871,1049,Zone06,0
6602,6603,บางมด,เขตทุ่งครุ,104901,โรงเรียนวัดพุทธบูชา,25,290,374,447,821,1049,Zone06,0
6603,6604,บางมด,เขตทุ่งครุ,104901,โรงเรียนวัดพุทธบูชา,26,385,431,516,947,1049,Zone06,0
6604,6605,บางมด,เขตทุ่งครุ,104901,โรงเรียนวัดพุทธบูชา,27,358,416,500,916,1049,Zone06,0
6605,6606,บางมด,เขตทุ่งครุ,104901,เต็นท์ในโรงเรียนวัดพุทธบูชา,28,248,366,386,752,1049,Zone06,0
6606,6607,บางมด,เขตทุ่งครุ,104901,เต็นท์ในโรงเรียนวัดพุทธบูชา,29,353,408,467,875,1049,Zone06,0
6607,6608,บางมด,เขตทุ่งครุ,104901,โรงเรียนสามัคคีบำรุง,30,260,390,454,844,1049,Zone06,0
6608,6609,บางมด,เขตทุ่งครุ,104901,โรงเรียนสามัคคีบำรุง,31,436,432,546,978,1049,Zone06,0
6609,6610,บางมด,เขตทุ่งครุ,104901,โรงเรียนสามัคคีบำรุง,32,246,394,427,821,1049,Zone06,0
