index,CODE_UNIT,SubDist,Dist,SubC,Place,Unit,Housing,MVoter,FMVoter,Voter,DistC,zone,count
5168,5169,บางแค,เขตบางแค,104001,เต็นท์หน้าหมู่บ้านโมเดิร์น ทาวน์ ซอยกาญจนาภิเษก 0010,1,296,294,382,676,1040,Zone06,1
5169,5170,บางแค,เขตบางแค,104001,เต็นท์หน้าหมู่บ้านโมเดิร์น ทาวน์ ซอยกาญจนาภิเษก 0010,2,324,318,445,763,1040,Zone06,1
5170,5171,บางแค,เขตบางแค,104001,เต็นท์หน้าหมู่บ้านโมเดิร์น ทาวน์ ซอยกาญจนาภิเษก 0010,3,336,315,425,740,1040,Zone06,3
5171,5172,บางแค,เขตบางแค,104001,ร้านครัวปักษ์ใต้เมืองสงขลา ถนนกัลปพฤกษ์,4,374,386,479,865,1040,Zone06,2
5172,5173,บางแค,เขตบางแค,104001,ร้านครัวปักษ์ใต้เมืองสงขลา ถนนกัลปพฤกษ์,5,436,390,491,881,1040,Zone06,0
5173,5174,บางแค,เขตบางแค,104001,ร้านครัวปักษ์ใต้เมืองสงขลา ถนนกัลปพฤกษ์,6,509,396,503,899,1040,Zone06,4
5174,5175,บางแค,เขตบางแค,104001,เต็นท์ลานจอดรถร้านกรีนเฮ้าส์ ถนนกาญจนาภิเษก,7,325,368,430,798,1040,Zone06,2
5175,5176,บางแค,เขตบางแค,104001,โรงเรียนพิชญ์ชนก,8,193,283,354,637,1040,Zone06,0
5176,5177,บางแค,เขตบางแค,104001,โรงเรียนพิชญ์ชนก,9,183,325,331,656,1040,Zone06,0
5177,5178,บางแค,เขตบางแค,104001,โรงเรียนพิชญ์ชนก,10,158,310,337,647,1040,Zone06,0
5178,5179,บางแค,เขตบางแค,104001,โรงเรียนพิชญ์ชนก,11,179,342,361,703,1040,Zone06,3
5179,5180,บางแค,เขตบางแค,104001,โรงเรียนพิชญ์ชนก,12,194,289,338,627,1040,Zone06,0
5180,5181,บางแค,เขตบางแค,104001,เต็นท์ภายในโรงเรียนพิชญ์ชนก,13,241,398,415,813,1040,Zone06,0
5181,5182,บางแค,เขตบางแค,104001,เต็นท์ภายในโรงเรียนพิชญ์ชนก,14,312,349,404,753,1040,Zone06,2
5182,5183,บางแค,เขตบางแค,104001,เต็นท์ภายในโรงเรียนพิชญ์ชนก,15,224,383,411,794,1040,Zone06,1
5183,5184,บางแค,เขตบางแค,104001,เต็นท์ภายในโรงเรียนพิชญ์ชนก,16,311,361,422,783,1040,Zone06,0
5184,5185,บางแค,เขตบางแค,104001,โรงเรียนคลองหนองใหญ่,17,283,370,402,772,1040,Zone06,1
5185,5186,บางแค,เขตบางแค,104001,โรงเรียนคลองหนองใหญ่,18,252,293,363,656,1040,Zone06,3
5186,5187,บางแค,เขตบางแค,104001,โรงเรียนคลองหนองใหญ่,19,234,317,336,653,1040,Zone06,2
5187,5188,บางแค,เขตบางแค,104001,โรงเรียนคลองหนองใหญ่,20,219,306,337,643,1040,Zone06,0
5188,5189,บางแค,เขตบางแค,104001,โรงเรียนคลองหนองใหญ่,21,253,343,403,746,1040,Zone06,6
5189,5190,บางแค,เขตบางแค,104001,โรงเรียนคลองหนองใหญ่,22,284,361,415,776,1040,Zone06,1
5190,5191,บางแค,เขตบางแค,104001,โรงเรียนคลองหนองใหญ่,23,420,353,399,752,1040,Zone06,2
5191,5192,บางแค,เขตบางแค,104001,โรงเรียนคลองหนองใหญ่,24,432,317,445,762,1040,Zone06,1
5192,5193,บางแค,เขตบางแค,104001,โรงเรียนคลองหนองใหญ่,25,502,338,482,820,1040,Zone06,1
5193,5194,บางแค,เขตบางแค,104001,เต็นท์ที่ว่างภายในหมู่บ้านมั่งมีซิตี้,26,199,309,358,667,1040,Zone06,0
5194,5195,บางแค,เขตบางแค,104001,เต็นท์ที่ว่างภายในหมู่บ้านมั่งมีซิตี้,27,260,360,578,938,1040,Zone06,0
5195,5196,บางแค,เขตบางแค,104001,เต็นท์ที่ว่างภายในหมู่บ้านมั่งมีซิตี้,28,227,351,419,770,1040,Zone06,1
