index,CODE_UNIT,SubDist,Dist,SubC,Place,Unit,Housing,MVoter,FMVoter,Voter,DistC,zone,count
3530,3531,บางซื่อ,เขตบางซื่อ,102901,เต็นท์ลานจอดรถอาคารอเนกประสงค์ ตึกแดง,1,143,310,281,591,1029,Zone03,3
3531,3532,บางซื่อ,เขตบางซื่อ,102901,เต็นท์ลานจอดรถอาคารอเนกประสงค์ ตึกแดง,2,178,250,321,571,1029,Zone03,1
3532,3533,บางซื่อ,เขตบางซื่อ,102901,เต็นท์ลานจอดรถอาคารอเนกประสงค์ ตึกแดง,3,151,302,323,625,1029,Zone03,0
3533,3534,บางซื่อ,เขตบางซื่อ,102901,เต็นท์ลานจอดรถอาคารอเนกประสงค์ ตึกแดง,4,160,316,303,619,1029,Zone03,1
3534,3535,บางซื่อ,เขตบางซื่อ,102901,เต็นท์ลานจอดรถอาคารอเนกประสงค์ ตึกแดง,5,157,294,295,589,1029,Zone03,5
3535,3536,บางซื่อ,เขตบางซื่อ,102901,เต็นท์ทางเข้าชุมชนบ้านพักรถไฟก่อสร้าง (แฟลตกระป๋อง),6,193,289,191,480,1029,Zone03,3
3536,3537,บางซื่อ,เขตบางซื่อ,102901,เต็นท์ทางเข้าชุมชนบ้านพักรถไฟก่อสร้าง (แฟลตกระป๋อง),7,155,256,237,493,1029,Zone03,1
3537,3538,บางซื่อ,เขตบางซื่อ,102901,เต็นท์ชุมชนบ้านพักรถไฟก่อสร้าง (แฟลตกระป๋อง),8,151,304,258,562,1029,Zone03,0
3538,3539,บางซื่อ,เขตบางซื่อ,102901,ศูนย์เยาวชนเตชะวนิช,9,155,191,244,435,1029,Zone03,1
3539,3540,บางซื่อ,เขตบางซื่อ,102901,อาคารศูนย์สาธารณสุข 3,10,153,261,325,586,1029,Zone03,2
3540,3541,บางซื่อ,เขตบางซื่อ,102901,อาคารศูนย์สาธารณสุข 3,11,117,272,291,563,1029,Zone03,1
3541,3542,บางซื่อ,เขตบางซื่อ,102901,อาคารศูนย์สาธารณสุข 3,12,348,250,343,593,1029,Zone03,1
