index,CODE_UNIT,SubDist,Dist,SubC,Place,Unit,Housing,MVoter,FMVoter,Voter,DistC,zone,count
472,473,อนุสาวรีย์,เขตบางเขน,100502,ศูนย์สร้างสุขทุกวัยบางเขน ถนนพหลโยธิน(ด้านข้างสำนักงานเขตบางเขน),1,151,291,260,551,1005,Zone03,2
473,474,อนุสาวรีย์,เขตบางเขน,100502,ศูนย์สร้างสุขทุกวัยบางเขน ถนนพหลโยธิน(ด้านข้างสำนักงานเขตบางเขน),2,227,469,86,555,1005,Zone03,2
474,475,อนุสาวรีย์,เขตบางเขน,100502,วัดบางบัว (ซอยพหลโยธิน 46),3,245,265,196,461,1005,Zone03,0
475,476,อนุสาวรีย์,เขตบางเขน,100502,วัดบางบัว (ซอยพหลโยธิน 46),4,210,261,194,455,1005,Zone03,1
476,477,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ),5,394,383,316,699,1005,Zone03,3
477,478,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ),6,313,415,300,715,1005,Zone03,2
478,479,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ),7,244,338,382,720,1005,Zone03,3
479,480,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ),8,173,345,366,711,1005,Zone03,0
480,481,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ),9,192,340,380,720,1005,Zone03,2
481,482,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ),10,228,368,374,742,1005,Zone03,5
482,483,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ),11,279,327,401,728,1005,Zone03,0
483,484,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถฌาปนสถานกองทัพอากาศ(วัดพระศรีมหาธาตุฯ),12,249,314,390,704,1005,Zone03,1
484,485,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณหน้าสำนักงานบริษัท อิออน จำกัด (แม็กซ์แวลู)ถนนแจ้งวัฒนะ,13,500,253,380,633,1005,Zone03,3
485,486,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณหน้าสำนักงานบริษัท อิออน จำกัด (แม็กซ์แวลู)ถนนแจ้งวัฒนะ,14,456,282,371,653,1005,Zone03,2
486,487,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณหน้าสำนักงานบริษัท อิออน จำกัด (แม็กซ์แวลู)ถนนแจ้งวัฒนะ,15,245,268,383,651,1005,Zone03,1
487,488,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถแฟมิลี่มาร์ท (ซอยพหลโยธิน 57),16,521,284,427,711,1005,Zone03,4
488,489,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถแฟมิลี่มาร์ท (ซอยพหลโยธิน 57),17,252,313,363,676,1005,Zone03,3
489,490,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถด้านหน้ามูลนิธิโพธิภาวนาสงเคราะห์สะพานใหม่ ถนนพหลโยธิน,18,337,324,432,756,1005,Zone03,3
490,491,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถด้านหน้ามูลนิธิโพธิภาวนาสงเคราะห์สะพานใหม่ ถนนพหลโยธิน,19,329,312,445,757,1005,Zone03,2
491,492,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถด้านหน้ามูลนิธิโพธิภาวนาสงเคราะห์สะพานใหม่ ถนนพหลโยธิน,20,299,301,459,760,1005,Zone03,1
492,493,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถด้านหน้ามูลนิธิโพธิภาวนาสงเคราะห์สะพานใหม่ ถนนพหลโยธิน,21,341,323,428,751,1005,Zone03,1
493,494,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถด้านหน้ามูลนิธิโพธิภาวนาสงเคราะห์สะพานใหม่ ถนนพหลโยธิน,22,279,341,424,765,1005,Zone03,1
494,495,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถด้านหน้ามูลนิธิโพธิภาวนาสงเคราะห์สะพานใหม่ ถนนพหลโยธิน,23,531,254,498,752,1005,Zone03,2
495,496,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถด้านหน้ามูลนิธิโพธิภาวนาสงเคราะห์สะพานใหม่ ถนนพหลโยธิน,24,482,313,432,745,1005,Zone03,0
496,497,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถด้านหน้ามูลนิธิโพธิภาวนาสงเคราะห์สะพานใหม่ ถนนพหลโยธิน,25,322,329,414,743,1005,Zone03,1
497,498,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถด้านหน้ามูลนิธิโพธิภาวนาสงเคราะห์สะพานใหม่ ถนนพหลโยธิน,26,248,342,419,761,1005,Zone03,0
498,499,อนุสาวรีย์,เขตบางเขน,100502,เต็นท์บริเวณลานจอดรถด้านหน้ามูลนิธิโพธิภาวนาสงเคราะห์สะพานใหม่ ถนนพหลโยธิน,27,226,366,401,767,1005,Zone03,1
