index,CODE_UNIT,SubDist,Dist,SubC,Place,Unit,Housing,MVoter,FMVoter,Voter,DistC,zone,count
5394,5395,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์ถนนน่านเจ้าริมบึงสีกัน (หมู่บ้านเมืองทอง 1),1,266,321,389,710,1041,Zone03,3
5395,5396,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์ถนนน่านเจ้าริมบึงสีกัน (หมู่บ้านเมืองทอง 1),2,234,312,368,680,1041,Zone03,2
5396,5397,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์ถนนน่านเจ้าริมบึงสีกัน (หมู่บ้านเมืองทอง 1),3,252,316,389,705,1041,Zone03,1
5397,5398,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์ถนนน่านเจ้าริมบึงสีกัน (หมู่บ้านเมืองทอง 1),4,328,321,409,730,1041,Zone03,1
5398,5399,ทุ่งสองห้อง,เขตหลักสี่,104101,ศาลากาญจนาภิเษก ซอยชมรมเกษตรนิเวศน์,5,279,305,387,692,1041,Zone03,2
5399,5400,ทุ่งสองห้อง,เขตหลักสี่,104101,ศาลากาญจนภิเษก ซอยชมรมเกษตรนิเวศน์,6,264,311,359,670,1041,Zone03,1
5400,5401,ทุ่งสองห้อง,เขตหลักสี่,104101,ศาลากาญจนภิเษก ซอยชมรมเกษตรนิเวศน์,7,251,298,362,660,1041,Zone03,4
5401,5402,ทุ่งสองห้อง,เขตหลักสี่,104101,ศาลากาญจนภิเษก ซอยชมรมเกษตรนิเวศน์,8,292,310,389,699,1041,Zone03,1
5402,5403,ทุ่งสองห้อง,เขตหลักสี่,104101,ศาลากาญจนภิเษก ซอยชมรมเกษตรนิเวศน์,9,315,284,400,684,1041,Zone03,0
5403,5404,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์สนามเด็กเล่นหมู่บ้านพงษ์เพชรแจ้งวัฒนะ 14,10,231,308,342,650,1041,Zone03,4
5404,5405,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์สนามเด็กเล่นหมู่บ้านพงษ์เพชรแจ้งวัฒนะ 14,11,260,274,369,643,1041,Zone03,4
5405,5406,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์สนามเด็กเล่นหมู่บ้านพงษ์เพชรแจ้งวัฒนะ 14,12,211,273,313,586,1041,Zone03,1
5406,5407,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์หน้าอาคารสโมสรหมู่บ้านชวนชื่น,13,227,277,339,616,1041,Zone03,1
5407,5408,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์หน้าอาคารสำนักงาน 2 ศูนย์กิจกรรมชุมชนชวนชื่นบางเขน,14,248,281,366,647,1041,Zone03,2
5408,5409,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์หน้าอาคารศูนย์กิจกรรมชุมชนชวนชื่นบางเขน,15,254,273,340,613,1041,Zone03,4
5409,5410,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์ลานจอดรถหมู่บ้านเคหะแจ้งวัฒนะ (อาคาร A),16,292,345,389,734,1041,Zone03,0
5410,5411,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์ลานจอดรถหมู่บ้านเคหะแจ้งวัฒนะ (อาคาร A),17,355,319,379,698,1041,Zone03,3
5411,5412,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์ลานจอดรถหมู่บ้านเคหะแจ้งวัฒนะ (อาคาร A),18,359,291,414,705,1041,Zone03,3
5412,5413,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์ลานจอดรถหมู่บ้านเคหะแจ้งวัฒนะ (อาคาร A),19,390,309,459,768,1041,Zone03,1
5413,5414,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1,20,186,326,307,633,1041,Zone03,3
5414,5415,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1,21,202,357,190,547,1041,Zone03,3
5415,5416,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1,22,322,371,337,708,1041,Zone03,3
5416,5417,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1,23,274,319,423,742,1041,Zone03,1
5417,5418,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1,24,350,299,433,732,1041,Zone03,2
5418,5419,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1,25,251,325,413,738,1041,Zone03,0
5419,5420,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1,26,314,276,377,653,1041,Zone03,0
5420,5421,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1,27,289,333,406,739,1041,Zone03,0
5421,5422,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1,28,265,347,419,766,1041,Zone03,1
5422,5423,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1,29,241,291,387,678,1041,Zone03,2
5423,5424,ทุ่งสองห้อง,เขตหลักสี่,104101,เต็นท์บริเวณซอยแจ้งวัฒนะ 10 แยก 1,30,233,310,378,688,1041,Zone03,2
5424,5425,ทุ่งสองห้อง,เขตหลักสี่,104101,อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร หลักสี่,31,204,198,290,488,1041,Zone03,1
5425,5426,ทุ่งสองห้อง,เขตหลักสี่,104101,อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร หลักสี่,32,206,327,212,539,1041,Zone03,0
5426,5427,ทุ่งสองห้อง,เขตหลักสี่,104101,อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร หลักสี่,33,306,357,113,470,1041,Zone03,4
5427,5428,ทุ่งสองห้อง,เขตหลักสี่,104101,อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร หลักสี่,34,271,349,153,502,1041,Zone03,2
5428,5429,ทุ่งสองห้อง,เขตหลักสี่,104101,อาคารสงเคราะห์ข้าราชการกรุงเทพมหานคร หลักสี่,35,74,462,132,594,1041,Zone03,0
5429,5430,ทุ่งสองห้อง,เขตหลักสี่,104101,โรงเรียนเคหะทุ่งสองห้องวิทยา 2 (โรงอาหาร),36,228,322,354,676,1041,Zone03,2
5430,5431,ทุ่งสองห้อง,เขตหลักสี่,104101,โรงเรียนเคหะทุ่งสองห้องวิทยา 2 (โรงอาหาร),37,206,294,378,672,1041,Zone03,2
