index,CODE_UNIT,SubDist,Dist,SubC,Place,Unit,Housing,MVoter,FMVoter,Voter,DistC,zone,count
4000,4001,ประเวศ,เขตประเวศ,103201,เต็นท์ในคอนโดลุมพินี (ซอยอ่อนนุช 55-1),1,216,298,367,665,1032,Zone04,3
4001,4002,ประเวศ,เขตประเวศ,103201,เต็นท์ในคอนโดลุมพินี (ซอยอ่อนนุช 55-1),2,213,342,387,729,1032,Zone04,5
4002,4003,ประเวศ,เขตประเวศ,103201,เต็นท์ในคอนโดลุมพินี (ซอยอ่อนนุช 55-1),3,195,372,419,791,1032,Zone04,1
4003,4004,ประเวศ,เขตประเวศ,103201,เต็นท์ในคอนโดลุมพินี (ซอยอ่อนนุช 55-1),4,623,286,514,800,1032,Zone04,0
4004,4005,ประเวศ,เขตประเวศ,103201,เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่อนนุช 70),5,202,361,375,736,1032,Zone04,5
4005,4006,ประเวศ,เขตประเวศ,103201,เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่อนนุช 70),6,317,359,430,789,1032,Zone04,3
4006,4007,ประเวศ,เขตประเวศ,103201,เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่อนนุช 70),7,235,375,407,782,1032,Zone04,2
4007,4008,ประเวศ,เขตประเวศ,103201,เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่อนนุช 70),8,241,376,411,787,1032,Zone04,1
4008,4009,ประเวศ,เขตประเวศ,103201,เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่อนนุช 70),9,241,388,401,789,1032,Zone04,3
4009,4010,ประเวศ,เขตประเวศ,103201,เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่่อนนุช70),10,191,373,431,804,1032,Zone04,1
4010,4011,ประเวศ,เขตประเวศ,103201,โรงอาหารโรงเรียนสุเหร่าบึงหนองบอน (ซอยอ่อนนุช 70),11,200,315,341,656,1032,Zone04,4
4011,4012,ประเวศ,เขตประเวศ,103201,โรงอาหารโรงเรียนสุเหร่าบึงหนองบอน (ซอยอ่อนนุช 70),12,173,301,338,639,1032,Zone04,2
4012,4013,ประเวศ,เขตประเวศ,103201,โรงอาหารโรงเรียนสุเหร่าบึงหนองบอน (ซอยอ่อนนุช 70),13,193,310,367,677,1032,Zone04,1
4013,4014,ประเวศ,เขตประเวศ,103201,โรงอาหารโรงเรียนสุเหร่าบึงหนองบอน (ซอยอ่อนนุช 70),14,207,337,404,741,1032,Zone04,1
4014,4015,ประเวศ,เขตประเวศ,103201,เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1),15,250,271,381,652,1032,Zone04,0
4015,4016,ประเวศ,เขตประเวศ,103201,เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1),16,279,324,389,713,1032,Zone04,0
4016,4017,ประเวศ,เขตประเวศ,103201,เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1),17,240,305,335,640,1032,Zone04,1
4017,4018,ประเวศ,เขตประเวศ,103201,เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1),18,227,277,374,651,1032,Zone04,2
4018,4019,ประเวศ,เขตประเวศ,103201,เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1),19,277,315,359,674,1032,Zone04,2
4019,4020,ประเวศ,เขตประเวศ,103201,เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1),20,284,360,427,787,1032,Zone04,0
4020,4021,ประเวศ,เขตประเวศ,103201,เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าศาลาลอย(ซอยอ่อนนุช 70/1 แยก 2-5),21,165,338,388,726,1032,Zone04,3
