index,CODE_UNIT,SubDist,Dist,SubC,Place,Unit,Housing,MVoter,FMVoter,Voter,DistC,zone,count
3701,3702,ลาดยาว,เขตจตุจักร,103001,อาคารโรงเรียนบางบัว (ถนนพหลโยธิน),1,150,268,327,595,1030,Zone03,1
3702,3703,ลาดยาว,เขตจตุจักร,103001,อาคารโรงเรียนบางบัว (ถนนพหลโยธิน),2,430,248,328,576,1030,Zone03,1
3703,3704,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณกรมป่าไม้ (ถนนพหลโยธิน),3,249,333,351,684,1030,Zone03,5
3704,3705,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณกรมป่าไม้ (ถนนพหลโยธิน),4,302,322,366,688,1030,Zone03,2
3705,3706,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณกรมป่าไม้ (ถนนพหลโยธิน),5,240,333,353,686,1030,Zone03,1
3706,3707,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณกรมป่าไม้ (ถนนพหลโยธิน),6,238,331,359,690,1030,Zone03,2
3707,3708,ลาดยาว,เขตจตุจักร,103001,อาคารศาลาอเนกประสงค์ ชุมชนโรงสูบน้ำ (มหาวิทยาลัยเกษตรศาสตร์),7,229,537,450,987,1030,Zone03,3
3708,3709,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณโรงพยาบาลวิภาวดี (ฝั่งถนนงามวงศ์วาน),8,378,273,365,638,1030,Zone03,0
3709,3710,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณโรงพยาบาลวิภาวดี(ฝั่งถนนงามวงศ์วาน),9,318,308,338,646,1030,Zone03,2
3710,3711,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณโรงพยาบาลวิภาวดี(ฝั่งถนนงามวงศ์วาน),10,242,267,375,642,1030,Zone03,4
3711,3712,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณปากซอยงามวงศ์วาน52,11,213,203,282,485,1030,Zone03,2
3712,3713,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณปากซอยงามวงศ์วาน52,12,187,201,301,502,1030,Zone03,0
3713,3714,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณทางเท้าหน้ากรมพัฒนาที่ดิน (ถนนพหลโยธิน),13,401,291,380,671,1030,Zone03,0
3714,3715,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณทางเท้าหน้ากรมพัฒนาที่ดิน (ถนนพหลโยธิน),14,269,313,338,651,1030,Zone03,1
3715,3716,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านทาวน์โฮม(ซอยท่านผู้หญิงพหล),15,208,210,260,470,1030,Zone03,1
3716,3717,ลาดยาว,เขตจตุจักร,103001,อาคารข้างร้านเซเว่น อีเลฟเว่นสาขาพหลโยธิน35 แยก 17,16,326,295,408,703,1030,Zone03,4
3717,3718,ลาดยาว,เขตจตุจักร,103001,อาคารข้างร้านเซเว่น อีเลฟเว่นสาขาพหลโยธิน35 แยก 17,17,248,308,408,716,1030,Zone03,5
3718,3719,ลาดยาว,เขตจตุจักร,103001,อาคารข้างร้านเซเว่น อีเลฟเว่นสาขาพหลโยธิน35 แยก 17,18,238,304,405,709,1030,Zone03,1
3719,3720,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณลานหิน อเวนิว รัชโยธิน(ถนนรัชดาภิเษก),19,232,293,371,664,1030,Zone03,1
3720,3721,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณลานหิน อเวนิว รัชโยธิน(ถนนรัชดาภิเษก),20,338,257,392,649,1030,Zone03,3
3721,3722,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณลานหิน อเวนิว รัชโยธิน(ถนนรัชดาภิเษก),21,553,297,363,660,1030,Zone03,3
3722,3723,ลาดยาว,เขตจตุจักร,103001,ใต้อาคารแฟลตหลังสถานีตำรวจวิภาวดี(ถนนวิภาวดีรังสิต),22,267,265,260,525,1030,Zone03,1
3723,3724,ลาดยาว,เขตจตุจักร,103001,ใต้อาคารแฟลตหลังสถานีตำรวจวิภาวดี(ถนนวิภาวดีรังสิต),23,445,227,335,562,1030,Zone03,1
3724,3725,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณกองบัญชาการศึกษาสำนักงานตำรวจแห่งชาติ (ถนนวิภาวดีรังสิต),24,295,354,458,812,1030,Zone03,1
3725,3726,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณกองบัญชาการศึกษาสำนักงานตำรวจแห่งชาติ (ถนนวิภาวดีรังสิต),25,356,390,431,821,1030,Zone03,1
3726,3727,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณกองบัญชาการศึกษาสำนักงานตำรวจแห่งชาติ (ถนนวิภาวดีรังสิต),26,429,380,461,841,1030,Zone03,0
3727,3728,ลาดยาว,เขตจตุจักร,103001,อาคารโรงเรียนวัดเสมียนนารี (หน้าห้องสมุด),27,316,478,478,956,1030,Zone03,0
3728,3729,ลาดยาว,เขตจตุจักร,103001,อาคารโรงเรียนวัดเสมียนนารี (หน้าห้องสมุด),28,274,338,374,712,1030,Zone03,3
3729,3730,ลาดยาว,เขตจตุจักร,103001,อาคารแฟลตบ้านพักกองกำกับการสายตรวจ 191,29,201,282,162,444,1030,Zone03,0
3730,3731,ลาดยาว,เขตจตุจักร,103001,อาคารโรงเรียนวัดเทวสุนทร,30,221,306,332,638,1030,Zone03,1
3731,3732,ลาดยาว,เขตจตุจักร,103001,อาคารโรงเรียนวัดเทวสุนทร,31,185,283,341,624,1030,Zone03,5
3732,3733,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณริมกำแพงทัณฑสถานโรงพยาบาลราชทัณฑ์,32,297,367,433,800,1030,Zone03,4
3733,3734,ลาดยาว,เขตจตุจักร,103001,อาคารโรงเรียนรัตนโกสินทร์สมโภช,33,231,274,201,475,1030,Zone03,0
3734,3735,ลาดยาว,เขตจตุจักร,103001,อาคารโรงเรียนรัตนโกสินทร์สมโภช,34,242,273,208,481,1030,Zone03,0
3735,3736,ลาดยาว,เขตจตุจักร,103001,อาคารโรงเรียนประชานิเวศน์ (ประถมศึกษา),35,532,377,485,862,1030,Zone03,1
3736,3737,ลาดยาว,เขตจตุจักร,103001,อาคารโรงเรียนประชานิเวศน์ (ประถมศึกษา),36,306,383,485,868,1030,Zone03,3
3737,3738,ลาดยาว,เขตจตุจักร,103001,อาคารโรงเรียนประชานิเวศน์ (ประถมศึกษา),37,311,375,495,870,1030,Zone03,2
3738,3739,ลาดยาว,เขตจตุจักร,103001,อาคารโรงเรียนประชานิเวศน์ (ประถมศึกษา),38,277,370,501,871,1030,Zone03,2
3739,3740,ลาดยาว,เขตจตุจักร,103001,อาคารโรงเรียนประชานิเวศน์ (ประถมศึกษา),39,319,378,493,871,1030,Zone03,1
3740,3741,ลาดยาว,เขตจตุจักร,103001,อาคารจอดรถศูนย์กีฬาประชานิเวศน์,40,240,286,391,677,1030,Zone03,3
3741,3742,ลาดยาว,เขตจตุจักร,103001,อาคารจอดรถศูนย์กีฬาประชานิเวศน์,41,277,284,395,679,1030,Zone03,1
3742,3743,ลาดยาว,เขตจตุจักร,103001,อาคารจอดรถศูนย์กีฬาประชานิเวศน์,42,308,303,380,683,1030,Zone03,0
3743,3744,ลาดยาว,เขตจตุจักร,103001,อาคารจอดรถศูนย์กีฬาประชานิเวศน์,43,283,280,393,673,1030,Zone03,0
3744,3745,ลาดยาว,เขตจตุจักร,103001,อาคารจอดรถศูนย์กีฬาประชานิเวศน์,44,282,308,378,686,1030,Zone03,2
3745,3746,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณลานอเนกประสงค์หน้าหมู่บ้านชลนิเวศน์,45,245,259,360,619,1030,Zone03,3
3746,3747,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณลานอเนกประสงค์หน้าหมู่บ้านชลนิเวศน์,46,221,245,362,607,1030,Zone03,2
3747,3748,ลาดยาว,เขตจตุจักร,103001,อาคารศาลารวมใจหมู่บ้านจัดสรรปูนซิเมนต์ไทย,47,479,409,504,913,1030,Zone03,3
3748,3749,ลาดยาว,เขตจตุจักร,103001,อาคารศาลารวมใจหมู่บ้านจัดสรรปูนซิเมนต์ไทย,48,269,392,520,912,1030,Zone03,2
3749,3750,ลาดยาว,เขตจตุจักร,103001,เต็นท์บริเวณศาลารวมใจหมู่บ้านจัดสรรปูนซิเมนต์ไทย,49,320,391,511,902,1030,Zone03,0
3750,3751,เสนานิคม,เขตจตุจักร,103002,อาคารอเนกประสงค์โรงเรียนสารวิทยา,1,202,316,344,660,1030,Zone03,2
3751,3752,เสนานิคม,เขตจตุจักร,103002,อาคารอเนกประสงค์โรงเรียนสารวิทยา,2,195,337,323,660,1030,Zone03,0
3752,3753,เสนานิคม,เขตจตุจักร,103002,อาคารอเนกประสงค์โรงเรียนสารวิทยา,3,222,291,193,484,1030,Zone03,0
3753,3754,เสนานิคม,เขตจตุจักร,103002,อาคารอเนกประสงค์โรงเรียนสารวิทยา,4,221,263,231,494,1030,Zone03,2
3754,3755,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณการทางพิเศษแห่งประเทศไทย (ถนนพหลโยธิน),5,250,234,326,560,1030,Zone03,1
3755,3756,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณการทางพิเศษแห่งประเทศไทย (ถนนพหลโยธิน),6,178,241,318,559,1030,Zone03,1
3756,3757,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านอยู่เจริญ (ซอยพหลโยธิน40),7,357,354,461,815,1030,Zone03,1
3757,3758,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณสนามเด็กเล่นหมู่บ้านอยู่เจริญ (ซอยพหลโยธิน40),8,323,336,468,804,1030,Zone03,6
3758,3759,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณกรมยุทธโยธาทหารบก (แยกเกษตร-นวมินทร์),9,403,317,440,757,1030,Zone03,0
3759,3760,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณกรมยุทธโยธาทหารบก (แยกเกษตร-นวมินทร์),10,283,390,344,734,1030,Zone03,2
3760,3761,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณกรมยุทธโยธาทหารบก (แยกเกษตร-นวมินทร์),11,591,342,424,766,1030,Zone03,2
3761,3762,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณกรมยุทธโยธาทหารบก (แยกเกษตร-นวมินทร์),12,577,276,452,728,1030,Zone03,2
3762,3763,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณลานจอดรถบริษัท โอ.จี.ที. จำกัดข้างโรงเรียนอนุบาลไสวตาแตง (ซอยเสนานิคม2),13,442,341,479,820,1030,Zone03,3
3763,3764,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณลานจอดรถบริษัท โอ.จี.ที. จำกัดข้างโรงเรียนอนุบาลไสวตาแตง (ซอยเสนานิคม2),14,583,368,442,810,1030,Zone03,0
3764,3765,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณลานจอดรถบริษัท โอ.จี.ที. จำกัดข้างโรงเรียนอนุบาลไสวตาแตง (ซอยเสนานิคม2),15,549,354,483,837,1030,Zone03,2
3765,3766,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณลานจอดรถ บริษัท โอ.จี.ที. จำกัดข้างโรงเรียนอนุบาลไสวตาแตง (ซอยเสนานิคม2),16,270,395,447,842,1030,Zone03,1
3766,3767,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณลานจอดรถ บริษัท โอ.จี.ที. จำกัดข้างโรงเรียนอนุบาลไสวตาแตง (ซอยเสนานิคม2),17,452,343,486,829,1030,Zone03,1
3767,3768,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณลานจอดรถ บริษัท โอ.จี.ที. จำกัดข้างโรงเรียนอนุบาลไสวตาแตง (ซอยเสนานิคม2),18,576,344,475,819,1030,Zone03,1
3768,3769,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณลานจอดรถ บริษัท โอ.จี.ที. จำกัดข้างโรงเรียนอนุบาลไสวตาแตง (ซอยเสนานิคม2),19,403,367,464,831,1030,Zone03,1
3769,3770,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณลานจอดรถ บริษัท โอ.จี.ที. จำกัดข้างโรงเรียนอนุบาลไสวตาแตง (ซอยเสนานิคม2),20,279,384,443,827,1030,Zone03,1
3770,3771,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณทางเท้าปากซอยเสนานิคม1 ซอย 13 (ซอยวรรณชิต),21,365,302,394,696,1030,Zone03,2
3771,3772,เสนานิคม,เขตจตุจักร,103002,เต็นท์บริเวณทางเท้าปากซอยเสนานิคม1 ซอย 13 (ซอยวรรณชิต),22,347,316,388,704,1030,Zone03,2
