index,CODE_UNIT,SubDist,Dist,SubC,Place,Unit,Housing,MVoter,FMVoter,Voter,DistC,zone,count
4337,4338,สวนหลวง,เขตสวนหลวง,103401,มัสยิดอันวารุ้ลอับร๊อด (ซอยพัฒนาการ 38),1,241,375,411,786,1034,Zone02,1
4338,4339,สวนหลวง,เขตสวนหลวง,103401,มัสยิดอันวารุ๊ลอับร๊อด (ซอยพัฒนาการ 38),2,323,318,434,752,1034,Zone02,1
4339,4340,สวนหลวง,เขตสวนหลวง,103401,มัสยิดอันวารุ๊ลอับร๊อด (ซอยพัฒนาการ 38),3,440,309,481,790,1034,Zone02,1
4340,4341,สวนหลวง,เขตสวนหลวง,103401,มัสยิดอันวารุ๊ลอับร๊อด (ซอยพัฒนาการ 38),4,462,335,462,797,1034,Zone02,3
4341,4342,สวนหลวง,เขตสวนหลวง,103401,มัสยิดอันวารุ๊ลอับร๊อด (ซอยพัฒนาการ 38),5,466,325,473,798,1034,Zone02,2
4342,4343,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณหมู่บ้านเดอะคอนเนค (ซอยพัฒนาการ 38),6,494,350,474,824,1034,Zone02,4
4343,4344,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณหมู่บ้านวิลเลตซิตี้ (ซอยพัฒนาการ 38),7,377,326,445,771,1034,Zone02,1
4344,4345,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณหมู่บ้านวิลเลตไลต์ (ซอยพัฒนาการ 38),8,416,315,445,760,1034,Zone02,1
4345,4346,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณศูนย์รถเช่า (ซอยพัฒนาการ 29),9,414,325,456,781,1034,Zone02,6
4346,4347,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณศูนย์รถเช่า (ซอยพัฒนาการ 29),10,470,318,468,786,1034,Zone02,3
4347,4348,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณศูนย์รถเช่า (ซอยพัฒนาการ 29),11,315,331,445,776,1034,Zone02,3
4348,4349,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานจอดรถบางกอกแนชเชอรัลสปา (ซอยพัฒนาการ30),12,367,387,399,786,1034,Zone02,2
4349,4350,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานจอดรถบางกอกแนชเชอรัลสปา (ซอยพัฒนาการ30),13,316,347,404,751,1034,Zone02,2
4350,4351,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานจอดรถบางกอกแนชเชอรัลสปา (ซอยพัฒนาการ30),14,355,334,427,761,1034,Zone02,2
4351,4352,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานจอดรถบางกอกแนชเชอรัลสปา (ซอยพัฒนาการ30),15,346,377,439,816,1034,Zone02,1
4352,4353,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณหมู่บ้านปัญญา (ซอยพัฒนาการ30),16,272,329,430,759,1034,Zone02,1
4353,4354,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณหมู่บ้านปัญญา (ซอยพัฒนาการ30),17,296,339,422,761,1034,Zone02,2
4354,4355,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18)),18,290,299,401,700,1034,Zone02,2
4355,4356,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18),19,178,323,381,704,1034,Zone02,4
4356,4357,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18),20,249,293,403,696,1034,Zone02,1
4357,4358,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18),21,301,306,406,712,1034,Zone02,4
4358,4359,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18),22,325,303,394,697,1034,Zone02,1
4359,4360,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18),23,249,327,378,705,1034,Zone02,1
4360,4361,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18),24,216,316,387,703,1034,Zone02,3
4361,4362,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18),25,355,309,396,705,1034,Zone02,2
4362,4363,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานจอดรถบริษัทเซ็นคอร์ปอเรชั่นกรุ๊ป จำกัด(มหาชน)(ระหว่างซอยอ่อนนุช 17 แยก 16-18),26,251,313,389,702,1034,Zone02,0
4363,4364,สวนหลวง,เขตสวนหลวง,103401,วัดยาง (บริเวณโดมศาลา 5) (ซอยอ่อนนุช 23),27,157,342,388,730,1034,Zone02,0
4364,4365,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานกีฬาชุมชนซอยเพียรมานะ(ซ.อ่อนนุช17แยก20),28,246,263,313,576,1034,Zone02,0
4365,4366,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานกีฬาชุมชนซอยเพียรมานะ (ซอยอ่อนนุช17 แยก 20),29,216,265,293,558,1034,Zone02,2
4366,4367,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณลานกีฬาชุมชนซอยเพียรมานะ(ซ.อ่อนนุช17แยก20),30,232,240,322,562,1034,Zone02,4
4367,4368,สวนหลวง,เขตสวนหลวง,103401,สโมสรหมู่บ้านสวนแหลมทอง (ซอยพัฒนาการ 28),31,268,321,431,752,1034,Zone02,3
4368,4369,สวนหลวง,เขตสวนหลวง,103401,โรงเรียนนาคนาวาอุปถัมภ์ (ซอยอ่อนนุช 17 แยก 24),32,460,213,359,572,1034,Zone02,2
4369,4370,สวนหลวง,เขตสวนหลวง,103401,โรงเรียนนาคนาวาอุปถัมภ์ (ซอยอ่อนนุช 17 แยก 24),33,135,261,310,571,1034,Zone02,1
4370,4371,สวนหลวง,เขตสวนหลวง,103401,โรงเรียนนาคนาวาอุปถัมภ์ (ซอยอ่อนนุช 17 แยก 24),34,151,273,306,579,1034,Zone02,2
4371,4372,สวนหลวง,เขตสวนหลวง,103401,โรงเรียนสวนรัฐวิทยา (ซอยพัฒนาการ 20 แยก 6/2),35,164,317,338,655,1034,Zone02,1
4372,4373,สวนหลวง,เขตสวนหลวง,103401,โรงเรียนสวนรัฐวิทยา (ซอยพัฒนาการ 20 แยก 6/2),36,144,324,319,643,1034,Zone02,1
4373,4374,สวนหลวง,เขตสวนหลวง,103401,โรงเรียนสวนรัฐวิทยา (ซอยพัฒนาการ 20 แยก 6/2),37,185,308,361,669,1034,Zone02,1
4374,4375,สวนหลวง,เขตสวนหลวง,103401,โรงเรียนสวนรัฐวิทยา (ซอยพัฒนาการ 20 แยก 6/2),38,250,317,328,645,1034,Zone02,1
4375,4376,สวนหลวง,เขตสวนหลวง,103401,โรงเรียนสวนรัฐวิทยา (ซอยพัฒนาการ 20 แยก 6/2),39,291,293,382,675,1034,Zone02,1
4376,4377,สวนหลวง,เขตสวนหลวง,103401,โรงเรียนสวนรัฐวิทยา (ซอยพัฒนาการ 20 แยก 6/2),40,204,282,383,665,1034,Zone02,3
4377,4378,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณที่จอดรถสำนักงานหมู่บ้านผกามาศ(ซอยพัฒนาการ 20 แยก 8),41,133,228,256,484,1034,Zone02,3
4378,4379,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณที่จอดรถสำนักงานหมู่บ้านผกามาศ(ซอยพัฒนาการ 20 แยก 8),42,166,234,265,499,1034,Zone02,3
4379,4380,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณที่จอดรถหน้าอาคารร่มเย็นอพาร์ทเม้นท์(ซอยพัฒนาการ 17),43,312,361,410,771,1034,Zone02,2
4380,4381,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณที่จอดรถร้านตะวันแดง (ถนนพัฒนาการ)(ซอยพัฒนาการ 17),44,527,290,420,710,1034,Zone02,1
4381,4382,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณที่จอดรถร้านตะวันแดง (ถนนพัฒนาการ),45,248,325,379,704,1034,Zone02,4
4382,4383,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณที่จอดรถมัสยิดยามิอุ้ลอิสลาม คลองตัน (ถนนเพชรบุรี),46,426,307,386,693,1034,Zone02,0
4383,4384,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณที่จอดรถมัสยิดยามิอุ้ลอิสลาม คลองตัน(ถนนเพชรบุรี),47,290,293,379,672,1034,Zone02,2
4384,4385,สวนหลวง,เขตสวนหลวง,103401,เต็นท์บริเวณที่จอดรถมัสยิดยามิอุ้ลอิสลาม คลองตัน(ถนนเพชรบุรี),48,596,283,408,691,1034,Zone02,1
4385,4386,สวนหลวง,เขตสวนหลวง,103401,ศูนย์กลางอิสลามแห่งประเทศไทย (ซอยรามคำแหง 2),49,247,256,338,594,1034,Zone02,1
4386,4387,สวนหลวง,เขตสวนหลวง,103401,ศูนย์กลางอิสลามแห่งประเทศไทย (ซอยรามคำแหง 2),50,269,254,339,593,1034,Zone02,0
