index,CODE_UNIT,zone,DistC,SubC,SubDist,Dist,Place,Unit,Housing,Voter,nResp,nAttend,pAttend
1794,1795,Zone05,1016,101601,วัดอรุณ,เขตบางกอกใหญ่,อาคารศูนย์บริการสาธารณสุข 33 วัดหงส์รัตนาราม,1,161,710,1,3,0
1795,1796,Zone05,1016,101601,วัดอรุณ,เขตบางกอกใหญ่,เต็นท์บริเวณสนามโรงเรียนวัดหงส์รัตนาราม,2,99,449,0,0,0
1796,1797,Zone05,1016,101601,วัดอรุณ,เขตบางกอกใหญ่,เต็นท์บริเวณสนามโรงเรียนวัดหงส์รัตนาราม,3,97,412,3,502,121
1797,1798,Zone05,1016,101601,วัดอรุณ,เขตบางกอกใหญ่,เต็นท์บริเวณลานจอดรถ สน.บางกอกใหญ่,4,184,538,0,0,0
1798,1799,Zone05,1016,101601,วัดอรุณ,เขตบางกอกใหญ่,เต็นท์บริเวณลานจอดรถ สน.บางกอกใหญ่,5,154,570,1,111,19
1799,1800,Zone05,1016,101601,วัดอรุณ,เขตบางกอกใหญ่,เต็นท์บริเวณสนามโรงเรียนประถมทวีธาภิเศก,6,123,545,3,348,63
1800,1801,Zone05,1016,101601,วัดอรุณ,เขตบางกอกใหญ่,เต็นท์บริเวณสนามโรงเรียนประถมทวีธาภิเศก,7,64,297,2,151,50
1801,1802,Zone05,1016,101601,วัดอรุณ,เขตบางกอกใหญ่,เต็นท์บริเวณสนามโรงเรียนประถมทวีธาภิเศก,8,2,319,2,67,21
1802,1803,Zone05,1016,101601,วัดอรุณ,เขตบางกอกใหญ่,เต็นท์บริเวณที่จอดรถฌาปนสถานกองทัพเรือ(วัดเครือวัลย์),9,48,190,3,213,112
1803,1804,Zone05,1016,101601,วัดอรุณ,เขตบางกอกใหญ่,อาคารโรงเรียนวัดนาคกลาง,10,100,426,4,338,79
1804,1805,Zone05,1016,101601,วัดอรุณ,เขตบางกอกใหญ่,อาคารโรงเรียนวัดนาคกลาง,11,121,471,2,402,85
