index,CODE_UNIT,zone,DistC,SubC,SubDist,Dist,Place,Unit,Housing,Voter,nResp,nAttend,pAttend
4000,4001,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์ในคอนโดลุมพินี (ซอยอ่อนนุช 55-1),1,216,665,3,291,43
4001,4002,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์ในคอนโดลุมพินี (ซอยอ่อนนุช 55-1),2,213,729,4,644,88
4002,4003,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์ในคอนโดลุมพินี (ซอยอ่อนนุช 55-1),3,195,791,1,271,34
4003,4004,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์ในคอนโดลุมพินี (ซอยอ่อนนุช 55-1),4,623,800,1,34,4
4004,4005,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่อนนุช 70),5,202,736,2,168,22
4005,4006,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่อนนุช 70),6,317,789,1,60,7
4006,4007,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่อนนุช 70),7,235,782,0,0,0
4007,4008,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่อนนุช 70),8,241,787,5,679,86
4008,4009,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่อนนุช 70),9,241,789,1,45,5
4009,4010,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์บริเวณลานกิจกรรมโรงเรียนสุเหร่าบึงหนองบอน(ซอยอ่่อนนุช70),10,191,804,5,573,71
4010,4011,Zone04,1032,103201,ประเวศ,เขตประเวศ,โรงอาหารโรงเรียนสุเหร่าบึงหนองบอน (ซอยอ่อนนุช 70),11,200,656,1,62,9
4011,4012,Zone04,1032,103201,ประเวศ,เขตประเวศ,โรงอาหารโรงเรียนสุเหร่าบึงหนองบอน (ซอยอ่อนนุช 70),12,173,639,1,65,10
4012,4013,Zone04,1032,103201,ประเวศ,เขตประเวศ,โรงอาหารโรงเรียนสุเหร่าบึงหนองบอน (ซอยอ่อนนุช 70),13,193,677,0,0,0
4013,4014,Zone04,1032,103201,ประเวศ,เขตประเวศ,โรงอาหารโรงเรียนสุเหร่าบึงหนองบอน (ซอยอ่อนนุช 70),14,207,741,2,283,38
4014,4015,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1),15,250,652,2,85,13
4015,4016,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1),16,279,713,1,16,2
4016,4017,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1),17,240,640,1,77,12
4017,4018,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1),18,227,651,0,0,0
4018,4019,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1),19,277,674,1,134,19
4019,4020,Zone04,1032,103201,ประเวศ,เขตประเวศ,เต็นท์บริเวณลานกิจกรรมโรงเรียนมัธยมสุวิทย์เสรีอนุสรณ์(ซอยอ่อนนุช 70/1),20,284,787,0,0,0
