"BBKK_ID","SubDist","Dist","SubC","Place","Unit","Housing","MVoter","FMVoter","Voter","DistC"
6615,"บางมด","เขตทุ่งครุ",104901,"เต็นท์บริเวณหน้าอาคารศรีไทยคอนโดทาวน์ (ซอยประชาอุทิศ 33)",37,312,351,459,810,"1049"
6616,"บางมด","เขตทุ่งครุ",104901,"เต็นท์บริเวณหน้าอาคารศรีไทยคอนโดทาวน์ (ซอยประชาอุทิศ 33)",38,223,304,389,693,"1049"
6617,"บางมด","เขตทุ่งครุ",104901,"เต็นท์ปากทางเข้าหมู่บ้านสุขสวัสดิ์สวนธน (ซอยประชาอุทิศ 33)",39,248,335,401,736,"1049"
6618,"บางมด","เขตทุ่งครุ",104901,"เต็นท์ปากทางเข้าหมู่บ้านสุขสวัสดิ์สวนธน (ซอยประชาอุทิศ 33)",40,276,321,406,727,"1049"
6619,"บางมด","เขตทุ่งครุ",104901,"เต็นท์ปากทางเข้าหมู่บ้านสุขสวัสดิ์สวนธน (ซอยประชาอุทิศ 33)",41,282,324,413,737,"1049"
6620,"บางมด","เขตทุ่งครุ",104901,"เต็นท์ในบริเวณวัดบางมดโสธราราม (วัดกลางนา)(ซอยประชาอุทิศ 33)",42,309,426,470,896,"1049"
6621,"บางมด","เขตทุ่งครุ",104901,"เต็นท์ในบริเวณวัดบางมดโสธราราม (วัดกลางนา)(ซอยประชาอุทิศ 33)",43,269,415,479,894,"1049"
6622,"บางมด","เขตทุ่งครุ",104901,"เต็นท์ในบริเวณวัดบางมดโสธราราม (วัดกลางนา)(ซอยประชาอุทิศ 33)",44,389,396,444,840,"1049"
6623,"บางมด","เขตทุ่งครุ",104901,"เต็นท์ในบริเวณวัดบางมดโสธราราม(วัดกลางนา)(ซอยประชาอุทิศ 33)",45,353,425,493,918,"1049"
6624,"บางมด","เขตทุ่งครุ",104901,"เต็นท์ในบริเวณอู่รถประจำทางสาย 75 (ซอยพุทธบูชา 36)",46,323,423,490,913,"1049"
6625,"บางมด","เขตทุ่งครุ",104901,"เต็นท์ในบริเวณอู่รถประจำทางสาย 75 (ซอยพุทธบูชา 36)",47,390,434,499,933,"1049"
6626,"บางมด","เขตทุ่งครุ",104901,"เต็นท์ในบริเวณอู่รถประจำทางสาย 75 (ซอยพุทธบูชา 36)",48,328,361,453,814,"1049"
6627,"บางมด","เขตทุ่งครุ",104901,"เต็นท์ในบริเวณอู่รถประจำทางสาย 75 (ซอยพุทธบูชา 36)",49,312,336,420,756,"1049"
6628,"บางมด","เขตทุ่งครุ",104901,"เต็นท์ในบริเวณอู่รถประจำทางสาย 75 (ซอยพุทธบูชา 36)",50,377,420,488,908,"1049"
6629,"บางมด","เขตทุ่งครุ",104901,"เต็นท์ในบริเวณอู่รถประจำทางสาย 75 (ซอยพุทธบูชา 36)",51,458,413,569,982,"1049"
6630,"บางมด","เขตทุ่งครุ",104901,"มัสยิดดาริลฮาซัน (สอนสมบูรณ์)(ซอยพุทธบูชา 36)",52,294,372,447,819,"1049"
6631,"บางมด","เขตทุ่งครุ",104901,"เต็นท์บริเวณทางเข้าบริษัทสยามสมาร์ทแลนด์ จำกัด (กลางซอยประชาอุทิศ 54)",53,299,402,489,891,"1049"
6632,"บางมด","เขตทุ่งครุ",104901,"เต็นท์บริเวณทางเข้าบริษัทสยามสมาร์ทแลนด์ จำกัด(กลางซอยประชาอุทิศ 54)",54,311,390,518,908,"1049"
6633,"บางมด","เขตทุ่งครุ",104901,"เต็นท์บริเวณทางเข้าบริษัทสยามสมาร์ทแลนด์ จำกัด(กลางซอยประชาอุทิศ 54)",55,263,412,472,884,"1049"
6634,"ทุ่งครุ","เขตทุ่งครุ",104902,"โรงเรียนราษฎร์บูรณะ",1,424,409,503,912,"1049"
6635,"ทุ่งครุ","เขตทุ่งครุ",104902,"โรงเรียนราษฎร์บูรณะ",2,337,409,512,921,"1049"
6636,"ทุ่งครุ","เขตทุ่งครุ",104902,"โรงเรียนราษฎร์บูรณะ",3,200,427,434,861,"1049"
6637,"ทุ่งครุ","เขตทุ่งครุ",104902,"โรงเรียนราษฎร์บูรณะ",4,282,438,529,967,"1049"
6638,"ทุ่งครุ","เขตทุ่งครุ",104902,"เต็นท์ในโรงเรียนราษฎร์บูรณะ",5,226,418,442,860,"1049"
